Ticker,Sector,Industry,YFQuoteType
AGX,Industrials,Engineering & Construction,EQUITY
EMR,Industrials,Specialty Industrial Machinery,EQUITY
DHI,Consumer Cyclical,Residential Construction,EQUITY
MOS,Basic Materials,Agricultural Inputs,EQUITY
DTRUY,Industrials,Farm & Heavy Construction Machinery,EQUITY
KD,Technology,Information Technology Services,EQUITY
GLPI,Real Estate,REIT - Specialty,EQUITY
ROK,Industrials,Specialty Industrial Machinery,EQUITY
CCLD,Healthcare,Health Information Services,EQUITY
TGT,Consumer Defensive,Discount Stores,EQUITY
DEO,Consumer Defensive,Beverages - Wineries & Distilleries,EQUITY
BNTX,Healthcare,Biotechnology,EQUITY
SONY,Technology,Consumer Electronics,EQUITY
FANUY,Industrials,Specialty Industrial Machinery,EQUITY
WFC,Financial Services,Banks - Diversified,EQUITY
PPRUY,Consumer Cyclical,Luxury Goods,EQUITY
VLTO,Industrials,Pollution & Treatment Controls,EQUITY
SBGSY,Industrials,Specialty Industrial Machinery,EQUITY
PEP,Consumer Defensive,Beverages - Non-Alcoholic,EQUITY
SPGI,Financial Services,Financial Data & Stock Exchanges,EQUITY
ELV,Healthcare,Healthcare Plans,EQUITY
STZ,Consumer Defensive,Beverages - Wineries & Distilleries,EQUITY
HLT,Consumer Cyclical,Lodging,EQUITY
CSX,Industrials,Railroads,EQUITY
ICE,Financial Services,Financial Data & Stock Exchanges,EQUITY
BSX,Healthcare,Medical Devices,EQUITY
DE,Industrials,Farm & Heavy Construction Machinery,EQUITY
FI,Technology,Information Technology Services,EQUITY
AZO,Consumer Cyclical,Specialty Retail,EQUITY
DHR,Healthcare,Diagnostics & Research,EQUITY
TXN,Technology,Semiconductors,EQUITY
HON,Industrials,Conglomerates,EQUITY
KLAC,Technology,Semiconductor Equipment & Materials,EQUITY
TMO,Healthcare,Diagnostics & Research,EQUITY
COCO,Consumer Defensive,Beverages - Non-Alcoholic,EQUITY
IGSB,Not Found,Not Found,ETF
T,Communication Services,Telecom Services,EQUITY
TLT,Not Found,Not Found,ETF
SHY,Not Found,Not Found,ETF
AAIC$B,Not Found,Not Found,Not Found
HCA,Healthcare,Medical Care Facilities,EQUITY
CORP,Not Found,Not Found,ETF
PWR,Industrials,Engineering & Construction,EQUITY
SHEL,Energy,Oil & Gas Integrated,EQUITY
FIS,Technology,Information Technology Services,EQUITY
MKL,Financial Services,Insurance - Property & Casualty,EQUITY
PCH,Real Estate,REIT - Specialty,EQUITY
MMM,Industrials,Conglomerates,EQUITY
PM,Consumer Defensive,Tobacco,EQUITY
WBD,Communication Services,Entertainment,EQUITY
FGBI,Financial Services,Banks - Regional,EQUITY
CHX,Energy,Oil & Gas Equipment & Services,EQUITY
DASH,Communication Services,Internet Content & Information,EQUITY
AORT,Healthcare,Medical Devices,EQUITY
MCK,Healthcare,Medical Distribution,EQUITY
ASML,Technology,Semiconductor Equipment & Materials,EQUITY
ARLP,Energy,Thermal Coal,EQUITY
NWN,Utilities,Utilities - Regulated Gas,EQUITY
MCHP,Technology,Semiconductors,EQUITY
OXY,Energy,Oil & Gas E&P,EQUITY
OKE,Energy,Oil & Gas Midstream,EQUITY
UBER,Technology,Software - Application,EQUITY
SAIC,Technology,Information Technology Services,EQUITY
LDOS,Technology,Information Technology Services,EQUITY
DT,Technology,Software - Application,EQUITY
EVVTY,Consumer Cyclical,Gambling,EQUITY
ULTA,Consumer Cyclical,Specialty Retail,EQUITY
USDP,Industrials,Railroads,EQUITY
TLH,Not Found,Not Found,ETF
IP,Consumer Cyclical,Packaging & Containers,EQUITY
TCMD,Healthcare,Medical Devices,EQUITY
X,Basic Materials,Steel,EQUITY
GIGB,Not Found,Not Found,ETF
AGZ,Not Found,Not Found,ETF
CMBS,Not Found,Not Found,ETF
MBB,Not Found,Not Found,ETF
JMBS,Not Found,Not Found,ETF
MPW,Real Estate,REIT - Healthcare Facilities,EQUITY
EOG,Energy,Oil & Gas E&P,EQUITY
T$A,Not Found,Not Found,Not Found
BNS,Financial Services,Banks - Diversified,EQUITY
ANET,Technology,Computer Hardware,EQUITY
ARCC,Financial Services,Asset Management,EQUITY
CLX,Consumer Defensive,Household & Personal Products,EQUITY
HPQ,Technology,Computer Hardware,EQUITY
MCD,Consumer Cyclical,Restaurants,EQUITY
GWW,Industrials,Industrial Distribution,EQUITY
LULU,Consumer Cyclical,Apparel Retail,EQUITY
PRIM,Industrials,Engineering & Construction,EQUITY
HDB,Financial Services,Banks - Regional,EQUITY
ALG,Industrials,Farm & Heavy Construction Machinery,EQUITY
ALGN,Healthcare,Medical Devices,EQUITY
INSW,Energy,Oil & Gas Midstream,EQUITY
ICFI,Industrials,Consulting Services,EQUITY
SGEN,Not Found,Not Found,NONE
UEC,Energy,Uranium,EQUITY
SYK,Healthcare,Medical Devices,EQUITY
PH,Industrials,Specialty Industrial Machinery,EQUITY
BALL,Consumer Cyclical,Packaging & Containers,EQUITY
NFE,Utilities,Utilities - Regulated Gas,EQUITY
VRTX,Healthcare,Biotechnology,EQUITY
HWM,Industrials,Aerospace & Defense,EQUITY
PLD,Real Estate,REIT - Industrial,EQUITY
AVGO,Technology,Semiconductors,EQUITY
GILD,Healthcare,Drug Manufacturers - General,EQUITY
NEP,Utilities,Utilities - Renewable,EQUITY
MS,Financial Services,Capital Markets,EQUITY
PGR,Financial Services,Insurance - Property & Casualty,EQUITY
NFLX,Communication Services,Entertainment,EQUITY
J,Industrials,Engineering & Construction,EQUITY
C,Financial Services,Banks - Diversified,EQUITY
FMBA,Not Found,Not Found,Not Found
PSQ,Not Found,Not Found,ETF
SHYF,Industrials,Farm & Heavy Construction Machinery,EQUITY
RMD,Healthcare,Medical Instruments & Supplies,EQUITY
PHM,Consumer Cyclical,Residential Construction,EQUITY
NXPI,Technology,Semiconductors,EQUITY
MCO,Financial Services,Financial Data & Stock Exchanges,EQUITY
FTNT,Technology,Software - Infrastructure,EQUITY
SWKS,Technology,Semiconductors,EQUITY
WU,Financial Services,Credit Services,EQUITY
MPWR,Technology,Semiconductors,EQUITY
WMS,Industrials,Building Products & Equipment,EQUITY
ITW,Industrials,Specialty Industrial Machinery,EQUITY
GGG,Industrials,Specialty Industrial Machinery,EQUITY
VIAV,Technology,Communication Equipment,EQUITY
GMAB,Healthcare,Biotechnology,EQUITY
RVLV,Consumer Cyclical,Internet Retail,EQUITY
SMNNY,Consumer Cyclical,Leisure,EQUITY
ODFL,Industrials,Trucking,EQUITY
RRC,Energy,Oil & Gas E&P,EQUITY
DIOD,Technology,Semiconductors,EQUITY
FOXF,Consumer Cyclical,Auto Parts,EQUITY
IART,Healthcare,Medical Devices,EQUITY
PHR,Healthcare,Health Information Services,EQUITY
ADYEY,Technology,Software - Infrastructure,EQUITY
VCYT,Healthcare,Biotechnology,EQUITY
ADP,Industrials,Staffing & Employment Services,EQUITY
GSK,Healthcare,Drug Manufacturers - General,EQUITY
SKY,Consumer Cyclical,Residential Construction,EQUITY
UTZ,Consumer Defensive,Packaged Foods,EQUITY
FSLR,Technology,Solar,EQUITY
BCRX,Healthcare,Biotechnology,EQUITY
DAVA,Technology,Software - Infrastructure,EQUITY
CRUS,Technology,Semiconductors,EQUITY
TWKS,Technology,Information Technology Services,EQUITY
NVZMY,Basic Materials,Specialty Chemicals,EQUITY
A,Healthcare,Diagnostics & Research,EQUITY
SLGN,Consumer Cyclical,Packaging & Containers,EQUITY
NSC,Industrials,Railroads,EQUITY
CBSH,Financial Services,Banks - Regional,EQUITY
ALGT,Industrials,Airlines,EQUITY
SGIOY,Healthcare,Drug Manufacturers - Specialty & Generic,EQUITY
ATVI,Not Found,Not Found,Not Found
CMP,Basic Materials,Other Industrial Metals & Mining,EQUITY
VOD,Communication Services,Telecom Services,EQUITY
LPX,Industrials,Building Products & Equipment,EQUITY
MAR,Consumer Cyclical,Lodging,EQUITY
GPK,Consumer Cyclical,Packaging & Containers,EQUITY
NU,Financial Services,Banks - Regional,EQUITY
DCO,Industrials,Aerospace & Defense,EQUITY
UFPI,Basic Materials,Lumber & Wood Production,EQUITY
SCHW$D,Not Found,Not Found,Not Found
JBL,Technology,Electronic Components,EQUITY
"GLAS FUNDS, LP",Not Found,Not Found,Not Found
EMXC,Not Found,Not Found,ETF
VO,Not Found,Not Found,ETF
VOO,Not Found,Not Found,ETF
JEPI,Not Found,Not Found,ETF
GPCR,Healthcare,Biotechnology,EQUITY
VMW,Not Found,Not Found,Not Found
RVNC,Healthcare,Biotechnology,EQUITY
PAA,Energy,Oil & Gas Midstream,EQUITY
HIG,Financial Services,Insurance - Property & Casualty,EQUITY
KMI,Energy,Oil & Gas Midstream,EQUITY
CMI,Industrials,Specialty Industrial Machinery,EQUITY
MMP,Not Found,Not Found,Not Found
TDY,Technology,Scientific & Technical Instruments,EQUITY
DTE,Utilities,Utilities - Regulated Electric,EQUITY
AAM$A,Not Found,Not Found,Not Found
NTR,Basic Materials,Agricultural Inputs,EQUITY
APA,Energy,Oil & Gas E&P,EQUITY
PNC,Financial Services,Banks - Regional,EQUITY
GD,Industrials,Aerospace & Defense,EQUITY
CF,Basic Materials,Agricultural Inputs,EQUITY
CUBE,Real Estate,REIT - Industrial,EQUITY
VGR,Consumer Defensive,Tobacco,EQUITY
YUM,Consumer Cyclical,Restaurants,EQUITY
EQNR,Energy,Oil & Gas Integrated,EQUITY
WAL,Financial Services,Banks - Regional,EQUITY
IR,Industrials,Specialty Industrial Machinery,EQUITY
BTO,Financial Services,Asset Management,EQUITY
NVS,Healthcare,Drug Manufacturers - General,EQUITY
SQ,Technology,Software - Infrastructure,EQUITY
KVUE,Consumer Defensive,Household & Personal Products,EQUITY
VBTX,Financial Services,Banks - Regional,EQUITY
FITB,Financial Services,Banks - Regional,EQUITY
GPP,Not Found,Not Found,Not Found
ARQT,Healthcare,Biotechnology,EQUITY
CSPCY,Healthcare,Drug Manufacturers - General,EQUITY
CYRX,Industrials,Integrated Freight & Logistics,EQUITY
MRNA,Healthcare,Biotechnology,EQUITY
AZTA,Healthcare,Medical Instruments & Supplies,EQUITY
IFF,Basic Materials,Specialty Chemicals,EQUITY
RCL,Consumer Cyclical,Travel Services,EQUITY
WM,Industrials,Waste Management,EQUITY
LRLCY,Consumer Defensive,Household & Personal Products,EQUITY
FMX,Consumer Defensive,Beverages - Brewers,EQUITY
DXCM,Healthcare,Medical Devices,EQUITY
ATLKY,Industrials,Specialty Industrial Machinery,EQUITY
QQQ,Not Found,Not Found,ETF
DFS,Financial Services,Credit Services,EQUITY
IJR,Not Found,Not Found,ETF
XEL,Utilities,Utilities - Regulated Electric,EQUITY
DUK,Utilities,Utilities - Regulated Electric,EQUITY
FAF,Financial Services,Insurance - Specialty,EQUITY
LBRDK,Communication Services,Telecom Services,EQUITY
WAT,Healthcare,Diagnostics & Research,EQUITY
IT,Technology,Information Technology Services,EQUITY
BIO,Healthcare,Medical Devices,EQUITY
CASY,Consumer Cyclical,Specialty Retail,EQUITY
NSRGY,Consumer Defensive,Packaged Foods,EQUITY
AVY,Consumer Cyclical,Packaging & Containers,EQUITY
SO,Utilities,Utilities - Regulated Electric,EQUITY
GL,Financial Services,Insurance - Life,EQUITY
VNT,Technology,Scientific & Technical Instruments,EQUITY
MTB,Financial Services,Banks - Regional,EQUITY
ARE,Real Estate,REIT - Office,EQUITY
BAH,Industrials,Consulting Services,EQUITY
TT,Industrials,Building Products & Equipment,EQUITY
CRL,Healthcare,Diagnostics & Research,EQUITY
NSA,Real Estate,REIT - Industrial,EQUITY
DORM,Consumer Cyclical,Auto Parts,EQUITY
FLR,Industrials,Engineering & Construction,EQUITY
POR,Utilities,Utilities - Regulated Electric,EQUITY
RGLD,Basic Materials,Gold,EQUITY
BR,Technology,Information Technology Services,EQUITY
ETR,Utilities,Utilities - Regulated Electric,EQUITY
SUI,Real Estate,REIT - Residential,EQUITY
SSNC,Technology,Software - Application,EQUITY
KKR,Financial Services,Asset Management,EQUITY
DD,Basic Materials,Specialty Chemicals,EQUITY
FANG,Energy,Oil & Gas E&P,EQUITY
PCAR,Industrials,Farm & Heavy Construction Machinery,EQUITY
LNT,Utilities,Utilities - Regulated Electric,EQUITY
TEL,Technology,Electronic Components,EQUITY
AOS,Industrials,Specialty Industrial Machinery,EQUITY
EXPD,Industrials,Integrated Freight & Logistics,EQUITY
WSO,Industrials,Industrial Distribution,EQUITY
LAMR,Real Estate,REIT - Specialty,EQUITY
COLD,Real Estate,REIT - Industrial,EQUITY
HES,Energy,Oil & Gas E&P,EQUITY
BWXT,Industrials,Aerospace & Defense,EQUITY
NDAQ,Financial Services,Financial Data & Stock Exchanges,EQUITY
WRB,Financial Services,Insurance - Property & Casualty,EQUITY
LKQ,Consumer Cyclical,Auto Parts,EQUITY
CBOE,Financial Services,Financial Data & Stock Exchanges,EQUITY
PRU,Financial Services,Insurance - Life,EQUITY
TSN,Consumer Defensive,Farm Products,EQUITY
JCI,Industrials,Building Products & Equipment,EQUITY
RBC,Industrials,Tools & Accessories,EQUITY
AI,Technology,Software - Application,EQUITY
AMLP,Not Found,Not Found,ETF
WCN,Industrials,Waste Management,EQUITY
TIMB,Communication Services,Telecom Services,EQUITY
FEP,Not Found,Not Found,ETF
TAK,Healthcare,Drug Manufacturers - Specialty & Generic,EQUITY
BBEU,Not Found,Not Found,ETF
INOD,Technology,Information Technology Services,EQUITY
AQN,Utilities,Utilities - Renewable,EQUITY
CRWD,Technology,Software - Infrastructure,EQUITY
EME,Industrials,Engineering & Construction,EQUITY
AGAE,Communication Services,Entertainment,EQUITY
NTLA,Healthcare,Biotechnology,EQUITY
TWLO,Communication Services,Internet Content & Information,EQUITY
NTRS,Financial Services,Asset Management,EQUITY
EFX,Industrials,Consulting Services,EQUITY
CHD,Consumer Defensive,Household & Personal Products,EQUITY
ASAZY,Industrials,Security & Protection Services,EQUITY
LUV,Industrials,Airlines,EQUITY
LH,Healthcare,Diagnostics & Research,EQUITY
STLA,Consumer Cyclical,Auto Manufacturers,EQUITY
BKNG,Consumer Cyclical,Travel Services,EQUITY
FCX,Basic Materials,Copper,EQUITY
DASTY,Technology,Software - Application,EQUITY
DBRG,Real Estate,Real Estate Services,EQUITY
CHGCY,Healthcare,Drug Manufacturers - General,EQUITY
PSX,Energy,Oil & Gas Refining & Marketing,EQUITY
F,Consumer Cyclical,Auto Manufacturers,EQUITY
JHEM,Not Found,Not Found,ETF
WTT,Not Found,Not Found,Not Found
SOFI,Financial Services,Credit Services,EQUITY
RMBS,Technology,Semiconductors,EQUITY
TPR,Consumer Cyclical,Luxury Goods,EQUITY
WTW,Financial Services,Insurance Brokers,EQUITY
SHV,Not Found,Not Found,ETF
CC,Basic Materials,Specialty Chemicals,EQUITY
PR,Energy,Oil & Gas E&P,EQUITY
ROAD,Industrials,Engineering & Construction,EQUITY
ALL,Financial Services,Insurance - Property & Casualty,EQUITY
NSP,Industrials,Staffing & Employment Services,EQUITY
LNC,Financial Services,Insurance - Life,EQUITY
ABNB,Consumer Cyclical,Travel Services,EQUITY
SWX,Utilities,Utilities - Regulated Gas,EQUITY
LLYVA,Communication Services,Entertainment,EQUITY
LSXMA,Communication Services,Broadcasting,EQUITY
LSXMK,Communication Services,Broadcasting,EQUITY
SEDG,Technology,Solar,EQUITY
LLYVK,Communication Services,Entertainment,EQUITY
SIGCY,Consumer Cyclical,Packaging & Containers,EQUITY
WTKWY,Industrials,Specialty Business Services,EQUITY
AFL,Financial Services,Insurance - Life,EQUITY
FDS,Financial Services,Financial Data & Stock Exchanges,EQUITY
